"V1","V7","V17","V27","V37","V47","V57","V67","V77","V87","V97","V107","V117","V127","V137","V147","V157","V167","V177","V187","V197","V207","V217","V227","V237","V247","V257","V267","V277","V287","V297","V307","V317","V327","V337","V347","V357","V367","V377","V387","V398","V409","V419","V429","V439","V449","V459","V469","V479","V489","V499","V509","V519","V529","V539","V549","V559","V569","V579","V589","V599","V609","V619","V629","V639","V649","V659","V669","V679","V689","V699","V709","V719","V729","V739","V749","V759","V769","V780"
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992156862745098,0,0,0.988235294117647,0,0.698039215686274,0.988235294117647,0,0.988235294117647,0.988235294117647,0,0,0,0,0,0,0,0.741176470588235,0,0,0.988235294117647,0,0.756862745098039,0,0,0.988235294117647,0,0,0.992156862745098,0,0.12156862745098,0.290196078431373,0,0,0,0,0,0,0,0.384313725490196,0,0.988235294117647,0.988235294117647,0,0.525490196078431,0,0,0.988235294117647,0,0,0.811764705882353,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0.858823529411765,0,0,0.996078431372549,0,0,0.933333333333333,0,0,0,0,0,0,0,0.807843137254902,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0,0,0.968627450980392,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0.12156862745098,0,0,0,0,0,0,0,0.941176470588235,0,0.996078431372549,0.545098039215686,0,0.996078431372549,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359683794466403,0.203921568627451,0,0.996078431372549,0.47843137254902,0,0.741176470588235,0,0,0,0,0,0,0,0,0.996078431372549,0,0,0.0313725490196078,0,0,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0.996078431372549,0,0,0,0,0,0,0.0941176470588235,0.537254901960784,0,0.996078431372549,1,0,0.803921568627451,0,0,0.996078431372549,0,0,0.603921568627451,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996078431372549,0,0.619607843137255,0.992156862745098,0,0.992156862745098,0.992156862745098,0,0.443137254901961,0.992156862745098,0,0.580392156862745,0.250980392156863,0,0.137254901960784,0,0,0.992156862745098,0,0,0.933333333333333,0,0.992156862745098,0,0,0.992156862745098,0,0,0.992156862745098,0,0,0.992156862745098,0,0,0.235294117647059,0,0,0,0,0.145098039215686,0,0.827450980392157,0.992156862745098,0,0.992156862745098,0.615686274509804,0,0.992156862745098,0,0,0.992156862745098,0,0,0.0117647058823529,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56078431372549,0,0,0.992156862745098,0,1,0.388235294117647,0,0.339920948616601,0.992156862745098,0,0,0.0509803921568627,0,0,0,0,0.992156862745098,0,0,0.992156862745098,0,0,0.309803921568627,0,0,0.196078431372549,0,0,0.992156862745098,0,0.674509803921569,0,0,0.72156862745098,0,0,0.874509803921569,0,0,0.992156862745098,0,0,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517647058823529,0,0,0.992156862745098,0,0,0.796078431372549,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16078431372549,0,0,0.32156862745098,0,0,0,0,0,0,0,0,0,0,0.996078431372549,0,0,0,0,0,0,0,0,0,0,0.556862745098039,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992156862745098,0,0,0.988235294117647,0,0.262745098039216,0.988235294117647,0,0.976470588235294,0.850980392156863,0,0.43921568627451,0,0,0.992156862745098,0,0,0.8,0,0,0,0,0.988235294117647,0,0,0.988235294117647,0,0,0.992156862745098,0,0,0.105882352941176,0,0,0,0,0,0,0,0,0,0.992156862745098,0.992156862745098,0,0.403921568627451,0,0,0.988235294117647,0,0,0.882352941176471,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0.494117647058824,0,0,0.964705882352941,0,0,0.686274509803922,0,0,0,0,0,0,0,0,0,0,0.980392156862745,0,0,0.423529411764706,0,0,0,0,0.682352941176471,0,0,0,0,0,0,0,0,0.956862745098039,0,0,0,0,0,0,0,0,0,0.250980392156863,0.996078431372549,0,1,0,0,0.996078431372549,0,0,0.701960784313725,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23921568627451,0,0,0,0,0.992156862745098,0,0,0.627450980392157,0,0,0.207843137254902,0,0,0.992156862745098,0,0,0.0352941176470588,0,0,0,0,0.988235294117647,0,0,0.988235294117647,0,0,0.992156862745098,0,0,0.290196078431373,0,0,0,0,0,0,0,0,0,0,0.992156862745098,0,0.541176470588235,0,0,0.988235294117647,0,0,0.988235294117647,0,0,0.250980392156863,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996078431372549,0,0,0.952941176470588,0,0,0.435294117647059,0,0,0.894117647058824,0,0,0.0745098039215686,0,0,0,0,0,0,0,0.156862745098039,0,0,0.0941176470588235,0,0,0.407843137254902,0,0,0.92156862745098,0,0,0.992156862745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992156862745098,0,0.807843137254902,0,0,0.992156862745098,0,0,1,0,0,0,0,0,0
