"V1","V11","V31","V51","V71","V91","V111","V131","V151","V171","V192","V213","V233","V253","V273","V293","V313","V333","V353","V373","V393","V413","V433","V453","V473","V493","V513","V533","V553","V573","V594","V615","V635","V655","V675","V695","V715","V735","V755","V775"
-1,0,0,0,0,0,0,0,0,0,0.0549019607843137,0.988235294117647,0,0,0.988235294117647,0,0,0,0.831372549019608,0,0,0,0.992156862745098,0,0,0,0,0,0.290196078431373,0,0,0,0.0313725490196078,0.988235294117647,0,0,0,0,0,0
-1,0,0,0,0,0,0,0.0235294117647059,0,0,0,0.996078431372549,0,0,0,0,0,0,0.996078431372549,0,0,0,0,0,0,0.0274509803921569,0,0,0,0,0,0,0,0.458823529411765,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0.713725490196078,0,0,0.996078431372549,0.0984251968503937,0,0,0,0,0,0.972549019607843,0,0,0.988235294117647,0,0,0,0,0,0,0.996078431372549,0,0,0,0.996078431372549,0.996078431372549,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0.992156862745098,0.996062992125984,0,0.992156862745098,0,0,0,0.992156862745098,0,0,0.901960784313726,0.141176470588235,0,0,0,0,0,0.992156862745098,0.0823529411764706,0.313725490196078,0,0.929411764705882,0.992156862745098,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0.56078431372549,0.996062992125984,0,0,0,0,0,0.992156862745098,0,0,0.992156862745098,0.23921568627451,0,0,0.223529411764706,0,0,0.333333333333333,0,0,0,0.552941176470588,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0.874509803921569,0.405511811023622,0,0,0,0,0,0.796078431372549,0,0,0,0.596078431372549,0,0,0.27843137254902,0,0,0.317647058823529,0,0,0,0.63921568627451,0,0,0,0.594488188976378,0,0,0
-1,0,0,0,0,0,0,0,0,0,0.149019607843137,0.988235294117647,0,0,0.988235294117647,0,0,0,0.690196078431373,0,0,0,0,0,0,0,0,0,0.654901960784314,0,0,0,0.215686274509804,0.988235294117647,0,0,0,0,0,0
-1,0,0,0,0,0,0,0.00784313725490196,0.650980392156863,0,0,0,0,0,0,0,0,0,0.996078431372549,0,0,0.937254901960784,0,0,0,0,0,0,0.505882352941176,0,0,0,0.192156862745098,0.16078431372549,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0.341176470588235,0,0,0.988235294117647,0.232283464566929,0,0,0,0,0,0.988235294117647,0,0,0,0,0,0,0.133333333333333,0,0,0.494117647058824,0,0,0,0.501960784313725,0.380392156862745,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0.129411764705882,0,0,0,0.552941176470588,0,0,0.992156862745098,0,0,0.529411764705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308300395256917,0.015748031496063,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0.890196078431372,0,0,0,0,0,0,0.941176470588235,0,0,0,0,0,0,0,0,0,0.454901960784314,0,0,0,0.890196078431372,0.0941176470588235,0,0,0,0,0,0
-1,0,0,0,0,0,0,0.992156862745098,0,0,0,0.423529411764706,0,0,0.992156862745098,0,0,0,1,0,0,0.564705882352941,0.992156862745098,0,0,0,0,0,0.243137254901961,0.431372549019608,0.733333333333333,0,0,0.423529411764706,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0.125490196078431,0.992156862745098,0.996062992125984,0,0.894117647058824,0,0,0,0.545098039215686,0,0,0.850980392156863,0.992156862745098,0,0,0,0,0,0.992156862745098,0,0.992156862745098,0,0.992156862745098,0.992156862745098,0,0,0.114173228346457,0,0,0
-1,0,0,0,0,0,0,0,0.776470588235294,0,0,0.984313725490196,0,0,0.254901960784314,0,0,0,0.968627450980392,0,0,0,0,0,0,0.164705882352941,0,0,0.964705882352941,0,0,0,0.16078431372549,0.901960784313726,0,0,0,0,0,0
-1,0,0,0,0,0,0,0.474509803921569,0,0,0,0.674509803921569,0,0,0.988235294117647,0,0,0,0.988235294117647,0,0,0,0.568627450980392,0,0,0.835294117647059,0,0,0,0.0862745098039216,0.988235294117647,0,0,0.988235294117647,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0.996078431372549,0.740157480314961,0,0,0,0,0,0.701960784313725,0,0,0.0156862745098039,0.866666666666667,0,0,0,0,0,0.933333333333333,0,0,0,0.996078431372549,0,0,0,0,0,0,0
